@relation NewRelation
@attribute P1min numeric
@attribute P2min numeric
@attribute P3min numeric
@attribute P4min numeric
@attribute P5min numeric
@attribute P6min numeric
@data
124,183,254,274,362,447
125,184,256,275,366,458
132,190,268,287,381,475
124,182,255,276,380,482
124,183,256,275,378,482
140,204,281,303,410,512
141,203,289,312,418,517
139,206,283,306,410,516
131,201,296,318,420,528
148,214,295,317,427,539
141,211,300,324,441,548
141,210,297,321,437,548
157,233,320,345,456,562
156,227,316,339,458,572
147,223,321,347,467,586
159,233,326,351,465,581
148,229,318,341,464,584
147,217,307,332,450,586
151,229,321,345,467,593
151,229,321,345,467,593
149,224,323,351,484,598
154,236,324,351,479,596
147,215,306,332,449,580
151,226,324,348,472,594
175,257,350,375,491,596
155,228,321,347,468,591
159,241,337,364,489,596
150,223,319,344,470,599
159,235,328,354,485,603
161,235,339,371,503,613
164,246,345,372,505,619
157,233,328,355,495,623
172,257,357,386,509,625
164,249,348,374,507,625
171,257,356,383,509,622
171,252,349,376,513,631
150,225,321,346,482,612
176,257,354,379,509,630
164,246,345,373,505,632
156,227,318,343,465,579
162,246,345,371,505,634
157,239,336,364,501,631
176,257,356,383,504,631
161,241,337,364,498,631
165,253,350,379,516,643
172,254,356,385,514,636
167,247,350,375,507,633
167,249,353,380,513,645
165,249,358,386,513,645
178,270,374,401,559,673
160,246,347,375,511,659
161,241,339,371,526,654
166,248,352,378,511,659
177,260,365,395,529,662
186,269,368,395,530,667
163,253,371,408,556,674
192,288,388,416,545,680
168,261,368,396,540,683
172,262,369,401,545,686
184,277,382,409,557,687
187,274,381,409,541,675
173,258,362,392,548,684
180,270,382,412,559,691
169,259,369,400,558,692
194,288,390,418,545,682
171,258,363,392,548,684
185,279,386,416,567,697
184,285,395,422,557,693
165,251,349,375,519,686
168,253,350,379,517,683
193,284,389,418,565,694
169,261,375,404,560,693
186,279,384,411,561,696
192,288,401,433,579,701
157,238,335,363,504,631
197,284,388,419,569,697
184,289,394,423,563,699
171,260,363,395,557,709
157,239,363,395,544,693
177,271,382,410,561,696
180,272,385,415,567,705
152,233,355,388,551,701
184,277,386,414,561,709
176,276,389,418,582,713
185,273,384,415,562,705
198,297,400,430,587,715
198,297,401,430,587,715
186,282,395,422,570,713
195,289,392,419,567,709
187,282,388,418,576,716
185,285,401,430,582,713
176,264,376,406,561,709
186,280,393,423,570,715
205,303,414,444,584,716
176,274,386,417,588,723
188,285,388,415,582,723
191,287,395,424,570,716
191,285,405,436,578,725
182,277,390,421,581,726
175,261,362,390,541,662
191,286,396,426,566,730
184,273,386,416,573,721
178,267,383,413,579,717
182,276,391,421,581,726
195,288,397,425,579,729
169,257,382,413,604,738
174,265,376,408,568,732
201,297,414,445,590,734
191,286,393,422,585,733
187,282,383,413,577,724
178,270,389,420,572,730
177,262,370,401,573,740
183,275,394,426,581,737
183,275,394,427,581,737
166,251,356,389,552,683
175,264,382,412,581,739
176,274,387,417,596,752
201,304,422,452,606,754
189,290,412,445,615,756
176,271,388,421,588,750
200,303,438,476,649,775
175,256,362,392,601,781
201,308,440,473,648,775
206,314,436,468,615,768
190,288,412,444,620,768
180,292,409,441,625,776
210,312,431,464,642,778
181,280,398,430,610,775
196,301,419,449,616,773
203,306,422,452,616,773
206,314,436,468,628,780
175,275,397,430,616,774
177,271,382,413,589,768
195,296,415,453,619,766
226,330,454,486,659,793
204,311,440,476,646,795
210,323,442,472,649,792
210,323,442,472,649,792
208,329,452,486,659,797
190,285,416,451,638,792
216,336,465,497,650,801
197,301,425,460,638,802
211,317,443,476,650,801
197,296,420,452,621,785
226,334,456,490,662,803
217,323,442,473,648,806
192,301,422,457,645,803
214,325,442,470,648,807
214,325,442,470,648,807
198,300,427,462,644,807
217,328,462,495,650,813
221,332,449,480,650,803
196,324,431,462,632,818
202,314,435,469,653,815
202,314,435,469,653,815
189,291,413,446,647,813
186,280,391,425,638,816
189,286,411,444,637,816
200,308,442,478,666,824
196,296,419,455,671,831
196,305,437,474,670,831
185,290,411,445,631,815
208,314,449,482,662,825
207,312,435,470,653,821
211,320,449,482,678,839
171,262,378,406,565,763
204,316,449,480,680,834
218,332,459,494,669,839
189,299,435,473,663,830
203,313,445,482,680,844
203,313,445,481,680,844
204,305,428,464,656,847
206,314,445,479,658,832
197,306,438,473,671,845
204,317,456,496,680,859
201,306,443,480,684,856
218,327,456,494,690,858
216,327,456,493,679,860
221,337,471,507,695,865
